 Sale's History For January

Transaction_date,Stock Item,Price,Payment_Type,Name,Price
1/3/2017 13:56,Beanie,1200,Visa,Rennae,120
1/4/2017 7:54,Sandle,1200,Visa,Gerhard,280
1/12/2017 7:28,Bucket Hat,1200,Amex,Megan,200
1/6/2017 15:15,Bucket Hat,1200,Mastercard,Danielle,150
1/13/2017 23:56,Golf T-shirt,1200,Mastercard,Tod,160
1/14/2017 19:32,Jean Short,1200,Visa,Janaina,160
1/6/2017 21:13,Bucket Hat,1200,Visa,Kofi,300
1/14/2017 11:19,Mrs Death T-shirt,1200,Visa,Jennifer,467
1/13/2017 19:39,Kiddies Range Tracksuit,1200,Visa,Jolene ,182
1/8/2017 7:26,Sandle,1200,Mastercard,anne,100
1/15/2017 2:40,Beanie,1200,Mastercard,Alexis,120
1/12/2017 6:40,Sandle,1200,Visa,Dez,120
1/15/2017 3:43,Bucket Hat,1200,Visa,Stephanie,280
1/5/2017 15:39,Bucket Hat,1200,Visa,Melissa ,200
1/10/2017 5:21,Golf T-shirt,1200,Amex,CLARE,150
1/15/2017 4:12,Jean Short,1200,Mastercard,catherine,160
1/12/2017 11:48,long dress,1200,Visa,Veronique ,160
1/6/2017 10:48,Stock Item,1200,Mastercard,Bruce and Camille,300
1/14/2017 9:10,short dress,1200,Mastercard,Ellen,467
1/14/2017 22:44,Kiddies Range Tracksuit,1200,Visa,Amy,182
1/6/2017 7:23,Sandle,1200,Visa,Anna,100
1/1/2017 5:04,Beanie,1200,Mastercard,Regina,120
1/15/2017 11:56,Sandle,1200,Visa,Heidi,120
1/15/2017 11:58,Bucket Hat,1200,Visa,Jessica,280
1/12/2017 9:43,Bucket Hat,1200,Diners,Petra,200
1/15/2017 12:33,Golf T-shirt,1200,Visa,Brian,150
1/14/2017 11:35,Jean Short,1200,Visa,Kenny,160
1/14/2017 15:40,Sandle,1200,Amex,ayse,160
1/3/2017 11:08,Mrs Death T-shirt,1200,Amex,Maria and Timothy,300
1/12/2017 1:37,Kiddies Range Tracksuit,1200,Visa,IMAN,467
1/16/2017 7:21,Sandle,2100,Mastercard,Gerald,182
1/15/2017 12:54,Beanie,1200,Mastercard,Annelies,100
1/7/2017 7:19,Sandle,1200,Amex,Jocelyn,120
1/3/2017 9:56,Bucket Hat,1200,Visa,Kara,120
1/16/2017 17:41,Bucket Hat,1200,Visa,Orsi,280
1/5/2017 5:33,Golf T-shirt,1200,Visa,Ben,200
1/2/2017 0:50,Jean Short,1200,Visa,Sam,150
1/13/2017 1:51,Sandle,1200,Visa,Filip and Teresa,160
1/15/2017 10:24,Mrs Death T-shirt,1200,Visa,Grace ,160
1/11/2017 8:59,Kiddies Range Tracksuit,1200,Visa,Chelsey ,300
1/15/2017 15:56,Sandle,1200,Amex,Charis,467
1/1/2017 12:19,Beanie,1200,Visa,Marlene,182
1/6/2017 14:03,Sandle,1200,Visa,Fie,100
1/9/2017 15:32,Bucket Hat,1200,Diners,Nicole ,120
1/17/2017 12:59,Bucket Hat,1200,Diners,Linda,120
1/12/2017 12:37,Golf T-shirt,1200,Visa,Janet,280
1/4/2017 7:43,Jean Short,1200,Mastercard,Jamie,200
1/17/2017 16:22,short dress,1200,Visa,Chad,150
1/1/2017 3:51,Mrs Death T-shirt,1200,Mastercard,sunny,160
1/18/2017 5:27,Kiddies Range Tracksuit,1200,Visa,Anna,160
1/18/2017 5:15,Jean Short,1200,Diners,Roger,300
1/1/2017 1:51,Mrs Death T-shirt,1200,Mastercard,Si,467
1/18/2017 6:30,Kiddies Range Tracksuit,1200,Visa,Sherri,182
1/11/2017 10:51,Sandle,1200,Mastercard,Katherine,100
1/4/2017 17:02,Beanie,1200,Mastercard,Clare,120
1/17/2017 1:23,Sandle,1200,Amex,Campbell,120
1/18/2017 2:16,Bucket Hat,1200,Visa,Ruth,280
1/18/2017 11:34,Bucket Hat,3600,Visa,Cheryl,200
1/18/2017 4:38,Golf T-shirt,1200,Visa,Doug,150
1/18/2017 13:26,Jean Short,7500,Mastercard,Julianne,160
1/18/2017 11:53,Beanie,1200,Visa,Shailesh,160
1/18/2017 12:04,Mrs Death T-shirt,1200,Visa,Conrad,300
1/13/2017 19:54,Kiddies Range Tracksuit,1200,Diners,Alison,467
1/5/2017 21:06,Sandle,1200,Mastercard,Tracy,182
1/14/2017 6:32,Beanie,1200,Visa,Kate,100
1/4/2017 23:48,Sandle,1200,Diners,Sarka,120
1/18/2017 16:32,Bucket Hat,3600,Visa,Therese,120
1/18/2017 17:04,Bucket Hat,3600,Visa,Abdul-L,280
1/18/2017 17:20,Golf T-shirt,3600,Visa,heidi,200
1/18/2017 17:39,Jean Short,3600,Visa,jiyoung,150
1/11/2017 11:20,Golf T-shirt,1200,Visa,Klara,160
1/13/2017 20:59,Mrs Death T-shirt,1200,Mastercard,Andrew,160
1/12/2017 16:50,Kiddies Range Tracksuit,1200,Visa,Vicki and Bill,300
1/12/2017 15:12,Sandle,1200,Mastercard,David,467
1/6/2017 12:27,Beanie,1200,Mastercard,Antonella,182
1/9/2017 18:52,Sandle,1200,Visa,David,100
1/18/2017 23:17,Bucket Hat,1200,Visa,Greg,120
1/7/2017 8:21,Bucket Hat,1200,Visa,Jannik ,120
1/3/2017 9:54,Golf T-shirt,1200,Visa,Sylvia,280
1/5/2017 19:37,Jean Short,1200,Amex,Bernadette,200
1/4/2017 12:49,Golf T-shirt,1200,Diners,Denise,150
1/8/2017 11:55,Mrs Death T-shirt,3600,Visa,Caren,160
1/14/2017 18:21,Kiddies Range Tracksuit,1200,Visa,luciana,160
1/11/2017 19:01,Kiddies Range Tracksuit,1200,Diners,Maja,300
1/14/2017 5:20,Mrs Death T-shirt,3600,Visa,Kristen,467
1/15/2017 8:07,Kiddies Range Tracksuit,1200,Visa,Kirstie,182
1/15/2017 8:10,Sandle,1200,Visa,Scott ,100
1/2/2017 17:45,Beanie,1200,Mastercard,Jammie,120
1/19/2017 16:10,Sandle,1200,Mastercard,Frank,120
1/19/2017 16:55,Bucket Hat,1200,Mastercard,scott,280
1/10/2017 17:41,Bucket Hat,1200,Visa,Jiri,200
1/18/2017 13:49,Golf T-shirt,3600,Visa,Bev,150
1/15/2017 5:47,Jean Short,1200,Visa,Dave and Amy,160
1/19/2017 23:06,Kiddies Range Tracksuit,1200,Mastercard,Rebecca,160
1/19/2017 11:12,Mrs Death T-shirt,1200,Visa,Melissa,300
1/4/2017 1:38,Kiddies Range Tracksuit,1200,Amex,jeremy,467
1/20/2017 3:11,Sandle,1200,Visa,Randy,182
1/3/2017 10:52,Beanie,1200,Visa,Djeiny,100
1/20/2017 5:24,Sandle,7500,Mastercard,Amanda,120
1/20/2017 6:03,Bucket Hat,1200,Mastercard,Andrea ,120
1/10/2017 11:37,Bucket Hat,1200,Amex,Joanna,280
1/20/2017 5:50,Golf T-shirt,1200,Visa,Jessica,200
1/19/2017 16:32,Jean Short,1200,Amex,alison,150
1/18/2017 10:42,Tracksuit,1200,Visa,malin,160
1/7/2017 6:11,Mrs Death T-shirt,3600,Visa,Tiffany ,160
1/3/2017 8:29,Kiddies Range Tracksuit,1200,Visa,Genevieve,300
1/1/2017 2:09,Sandle,1200,Mastercard,Saraya,467
1/20/2017 12:34,Beanie,1200,Mastercard,Anastasia,182
1/20/2017 3:51,Sandle,1200,Visa,Elizabeth,100
1/15/2017 11:26,Bucket Hat,1200,Visa,Nicole,120
1/5/2017 16:55,Bucket Hat,1200,Visa,Jeffrey,120
1/12/2017 19:47,Golf T-shirt,1200,Mastercard,Blanca Gabriela ,280
1/4/2017 19:20,Jean Short,1200,Amex,Elisa,200
1/10/2017 8:33,Tracksuit,3600,Mastercard,Patricia ,150
1/9/2017 14:51,Mrs Death T-shirt,1200,Visa,Bob,160
1/16/2017 2:41,Kiddies Range Tracksuit,7500,Visa,Kristyn,160
1/16/2017 18:36,Tracksuit,1200,Visa,Elizabeth,300
1/20/2017 8:10,Mrs Death T-shirt,1200,Amex,Cathy,467
1/6/2017 12:45,Kiddies Range Tracksuit,3600,Amex,Kaylee,182
1/10/2017 8:13,Sandle,1200,Visa,suzanne,100
1/7/2017 14:15,Beanie,1200,Mastercard,Cassandra,120
1/8/2017 15:27,Sandle,1200,Mastercard,Jennifer,120
1/21/2017 11:36,Bucket Hat,1200,Visa,nicole,280
1/21/2017 14:06,Bucket Hat,1200,Visa,Sean,200
1/2/2017 2:28,Golf T-shirt,1200,Mastercard,Morgan,150
1/19/2017 19:07,Jean Short,1200,Diners,Harriet,160
1/18/2017 6:27,Beanie,1200,Mastercard,Janine,160
1/20/2017 11:58,Mrs Death T-shirt,1200,Mastercard,Debora,300
1/20/2017 16:32,Kiddies Range Tracksuit,1200,Visa,Vishpala,467
1/1/2017 7:09,Sandle,1200,Amex,Emer,182
1/21/2017 14:55,Beanie,1200,Diners,john,100
1/7/2017 22:29,Sandle,1200,Mastercard,lailani,120
1/11/2017 22:22,Bucket Hat,3600,Visa,STEPHANIE,120
1/21/2017 14:25,Bucket Hat,1200,Visa,Tricia,280
1/18/2017 16:50,Golf T-shirt,1200,Visa,Celina,200
1/21/2017 12:08,Jean Short,3600,Visa,Rosemary,150
1/22/2017 6:41,Beanie,1200,Visa,Patrick,160
1/12/2017 9:23,Mrs Death T-shirt,1200,Mastercard,Jacob,160
1/22/2017 8:23,Kiddies Range Tracksuit,1200,Visa,elisabeth,300
1/3/2017 6:41,Sandle,3600,Visa,ayelet,467
1/1/2017 12:20,Beanie,3600,Visa,seemab,182
1/4/2017 22:00,Sandle,3600,Amex,Lucien,100
1/21/2017 2:15,Bucket Hat,1200,Visa,Kevin ,120
1/1/2017 14:22,Bucket Hat,1200,Mastercard,Liban,120
1/16/2017 1:07,Golf T-shirt,3600,Diners,Lesley,280
1/20/2017 8:51,Jean Short,1200,Visa,Marie,200
1/4/2017 9:02,Sandle,1200,Visa,Charlene,150
1/6/2017 8:34,Mrs Death T-shirt,1200,Visa,Orit,160
1/8/2017 4:16,Kiddies Range Tracksuit,1200,Visa,Alan,160
1/23/2017 3:33,Sandle,3600,Mastercard,Anja Langer,300
1/6/2017 4:18,Beanie,1200,Visa,Lina,467
1/23/2017 3:30,Sandle,1200,Amex,Larry,182
1/10/2017 4:04,Bucket Hat,1200,Visa,Jessica,100
1/5/2017 2:57,Bucket Hat,7500,Visa,Marion,120
1/21/2017 14:15,Golf T-shirt,1200,Amex,Eric,120
1/21/2017 6:39,Jean Short,1200,Amex,Miriane,280
1/19/2017 8:14,Tracksuit,1200,Visa,Jeff,200
1/23/2017 8:00,Mrs Death T-shirt,1200,Diners,christina,150
1/22/2017 23:35,Kiddies Range Tracksuit,1200,Mastercard,Shannon,160
1/14/2017 3:09,Sandle,1200,Mastercard,Angela,160
1/16/2017 1:51,Beanie,1200,Visa,Angela,300
1/1/2017 6:29,Sandle,1200,Mastercard,Elaine,467
1/21/2017 7:59,Bucket Hat,1200,Visa,Helen,182
1/23/2017 7:37,Bucket Hat,3600,Amex,Fatisha,100
1/18/2017 14:39,Golf T-shirt,1200,Visa,Nina,120
1/24/2017 9:01,Jean Short,3600,Visa,Barbara,120
1/15/2017 1:41,Tracksuit,1200,Diners,Karen,280
1/17/2017 7:23,Mrs Death T-shirt,1200,Visa,Georgina,200
1/23/2017 11:37,Kiddies Range Tracksuit,1200,Diners,Kellie,150
1/19/2017 15:02,Sandle,1200,Mastercard,Terry,160
1/11/2017 7:10,Beanie,3600,Visa,LAURIE,160
1/10/2017 3:28,Sandle,1200,Visa,frauke,300
1/7/2017 19:03,Bucket Hat,3600,Mastercard,Cindy,467
1/17/2017 14:02,Bucket Hat,1200,Visa,Simone,182
1/25/2017 0:09,Golf T-shirt,1200,Visa,Hilde ,100
1/9/2017 14:27,Jean Short,1200,Visa,Leah,120
1/9/2017 14:32,Bucket Hat,1200,Visa,Laine,120
1/11/2017 15:59,Mrs Death T-shirt,1200,Visa,kirsten,280
1/6/2017 14:38,Kiddies Range Tracksuit,3600,Mastercard,Elizabeth,200
1/6/2017 9:52,Sandle,1200,Mastercard,Anna,150
1/1/2017 9:21,Beanie,1200,Diners,Babs,160
1/3/2017 7:58,Sandle,1200,Mastercard,Gerlinde,160
1/11/2017 11:36,Bucket Hat,1200,Mastercard,Hollyn,300
1/13/2017 14:53,Bucket Hat,1200,Visa,leiser,467
1/1/2017 10:06,Golf T-shirt,3600,Mastercard,Irene,182
1/16/2017 5:07,Jean Short,1200,Amex,Lisa,100
1/6/2017 16:37,Bucket Hat,1200,Visa,Ann,120
1/18/2017 17:21,Mrs Death T-shirt,1200,Mastercard,Nichol Jane,120
1/13/2017 15:18,Kiddies Range Tracksuit,1200,Amex,Beatriz,280
1/24/2017 8:21,Sandle,1200,Mastercard,corina,200
1/24/2017 8:25,Beanie,1200,Mastercard,manon,150
1/18/2017 13:06,Sandle,1200,Diners,Isabelle,160
1/22/2017 18:44,Bucket Hat,1200,Visa,Lynne,160
1/8/2017 8:58,Bucket Hat,1200,Mastercard,Doug,300
1/4/2017 9:54,Golf T-shirt,1200,Mastercard,AMY,467
1/13/2017 20:22,Jean Short,1200,Visa,Kim,182
1/9/2017 10:22,Tracksuit,1200,Mastercard,HELIDA,100
1/5/2017 12:28,Mrs Death T-shirt,1200,Visa,Cameron,120
1/26/2017 3:43,Kiddies Range Tracksuit,1200,Mastercard,Wendy,120
1/26/2017 3:49,Sandle,3600,Mastercard,Jane,280
1/11/2017 13:16,Beanie,3600,Visa,shelby,200
1/22/2017 15:32,Sandle,1200,Mastercard,Tara,150
1/9/2017 14:25,Bucket Hat,1200,Amex,James,160
1/21/2017 11:28,Bucket Hat,800,Amex,Heloise ,160
1/1/2017 14:19,Golf T-shirt,1200,Mastercard,Gabriel,300
1/26/2017 4:30,Jean Short,1200,Visa,Jodie ,467
1/7/2017 4:45,short dress,1200,Amex,Jeremy,182
1/11/2017 12:12,Mrs Death T-shirt,1200,Visa,Helga,100
1/26/2017 10:24,Kiddies Range Tracksuit,1200,Visa,Eleanor,120
1/26/2017 8:58,Sandle,1200,Diners,Miss,120
1/7/2017 17:51,Beanie,1200,Visa,Marie,280
1/18/2017 20:16,Sandle,1200,Mastercard,Lisa,200
1/13/2017 9:51,Bucket Hat,1200,Mastercard,Priska,150
1/24/2017 18:43,Bucket Hat,1200,Visa,Katrine,160
1/5/2017 0:46,Golf T-shirt,1200,Amex,Lisa,160
1/9/2017 1:12,Jean Short,1200,Visa,Sabrina,300
1/26/2017 6:25,long dress,1200,Visa,prof,467
1/21/2017 16:57,Mrs Death T-shirt,1200,Mastercard,KeithMichelle,182
1/5/2017 5:33,Kiddies Range Tracksuit,1200,Mastercard,Kim,100
1/27/2017 5:10,Sandle,1200,Visa,anissa,120
1/7/2017 8:00,Beanie,1200,Mastercard,john,120
1/20/2017 7:08,Sandle,3600,Visa,Miye,280
1/27/2017 2:26,Bucket Hat,1200,Diners,Heidi,200
1/5/2017 6:14,Bucket Hat,1200,Mastercard,T,150
1/13/2017 8:11,Golf T-shirt,3600,Visa,Daniele,160
1/10/2017 9:18,Jean Short,1200,Diners,luisa,160
1/8/2017 18:52,short dress,1200,Visa,Nadine,300
1/12/2017 10:06,Mrs Death T-shirt,1200,Mastercard,Tina,467
1/1/2017 19:25,Kiddies Range Tracksuit,1200,Diners,Damali,182
1/27/2017 15:28,Sandle,1200,Visa,Katherine,100
1/2/2017 18:43,Beanie,1200,Visa,Kathryn,120
1/8/2017 18:41,Sandle,1200,Diners,Veronique,120
1/4/2017 18:34,Bucket Hat,1200,Visa,Erica,280
1/25/2017 8:32,Bucket Hat,1200,Visa,L,200
1/23/2017 22:19,Golf T-shirt,1200,Mastercard,Diana,150
1/7/2017 10:03,Jean Short,1200,Mastercard,Emma,160
1/18/2017 3:46,long dress,1200,Visa,Marina,160
1/28/2017 0:40,Mrs Death T-shirt,1200,Mastercard,Natalie ,300
1/2/2017 15:18,Kiddies Range Tracksuit,1200,Diners,Brenda,467
1/18/2017 13:59,Sandle,1200,Diners,Nita,182
1/16/2017 9:54,Beanie,1200,Mastercard,Marian,100
1/28/2017 7:07,Sandle,1200,Visa,Kevin,120
1/28/2017 7:31,Bucket Hat,1200,Visa,cari,120
1/18/2017 12:32,Bucket Hat,1200,Visa,Cassandra,280
1/13/2017 14:05,Golf T-shirt,1200,Amex,Christof and Heidi,200
1/28/2017 7:49,Jean Short,1200,Visa,Ina,150
1/28/2017 3:07,Beanie,1200,Visa,Lisa,160
1/12/2017 15:16,Mrs Death T-shirt,1200,Visa,Camille and Carmen,160
1/6/2017 11:17,Kiddies Range Tracksuit,3600,Visa,Trina,300
1/23/2017 9:49,Sandle,1200,Visa,Ginger,467
1/24/2017 4:01,Beanie,1200,Visa,breon,182
1/25/2017 18:21,Sandle,1200,Visa,Marion,100
1/15/2017 10:51,Bucket Hat,1200,Mastercard,Pia ,120
1/2/2017 5:14,Bucket Hat,1200,Visa,Dr. Donald,120
1/9/2017 10:35,Golf T-shirt,3600,Visa,Jenna and Paul,280
1/4/2017 10:16,Jean Short,1200,Mastercard,Rebecca,200
1/2/2017 12:16,Beanie,1200,Mastercard,Monique,150
1/28/2017 12:31,Mrs Death T-shirt,1200,Diners,lilia ,160
1/14/2017 12:07,Kiddies Range Tracksuit,1200,Mastercard,Lainey,160
1/16/2017 7:20,Sandle,3600,Mastercard,Jag,300
1/6/2017 9:55,Beanie,1200,Mastercard,Charlene ,467
1/7/2017 12:55,Sandle,1200,Amex,Fiona,182
1/19/2017 12:14,Bucket Hat,1200,Mastercard,burt,100
1/13/2017 15:19,Bucket Hat,3600,Visa,Maggie,120
1/18/2017 8:56,Golf T-shirt,1200,Mastercard,Stanford,120
1/4/2017 17:54,Jean Short,1200,Amex,ruth,280
1/5/2017 13:46,Jean Short,1200,Visa,Courtney,200
1/5/2017 10:49,Mrs Death T-shirt,3600,Amex,Courtney,150
1/12/2017 18:24,Kiddies Range Tracksuit,1200,Diners,Anthony,160
1/18/2017 4:01,Sandle,1200,Visa,Eleanor,160
1/16/2017 10:58,Beanie,1200,Visa,GAIA,300
1/13/2017 8:20,Sandle,1200,Mastercard,Zane,467
1/12/2017 1:42,Bucket Hat,1200,Mastercard,Beate,182
1/28/2017 13:07,Bucket Hat,1200,Amex,BALA,100
1/29/2017 5:43,Golf T-shirt,1200,Visa,Mrs,120
1/29/2017 5:30,Jean Short,1200,Diners,Vanessa,120
1/13/2017 18:08,Stock Item,1200,Amex,Amanda,280
1/9/2017 15:24,Mrs Death T-shirt,1200,Mastercard,alex ,200
1/23/2017 15:33,Kiddies Range Tracksuit,1200,Mastercard,T,150
1/29/2017 12:28,Sandle,1200,Mastercard,Alva and Martin,160
1/13/2017 11:31,Beanie,1200,Visa,Anett,160
1/29/2017 10:09,Sandle,3600,Mastercard,Jacqui,300
1/29/2017 15:08,Bucket Hat,1200,Visa,KERRY,467
1/4/2017 5:12,Bucket Hat,1200,Visa,DeeDee,182
1/22/2017 22:16,Golf T-shirt,3600,Mastercard,leanne,100
1/5/2017 19:26,Jean Short,1200,Visa,katie,120
1/11/2017 12:22,Jean Short,1200,Visa,Marina,120
1/2/2017 9:31,Mrs Death T-shirt,1200,Visa,camilla,280
1/5/2017 11:21,Kiddies Range Tracksuit,1200,Visa,pirunkit,200
1/17/2017 9:49,Sandle,1200,Diners,Kathrin,150
1/28/2017 1:38,Beanie,1200,Mastercard,Kate,160
1/19/2017 10:32,Sandle,1200,Mastercard,Maie,160
1/26/2017 12:05,Bucket Hat,1250,Mastercard,verena,300
1/7/2017 18:53,Bucket Hat,1200,Visa,Marie-Christine,467
1/26/2017 11:38,Golf T-shirt,1200,Mastercard,Gabriella,182
1/8/2017 13:19,Jean Short,1200,Mastercard,valerie et nicolas,100
1/11/2017 14:56,Beanie,1200,Visa,Nicole,120
1/30/2017 20:36,Mrs Death T-shirt,1200,Visa,Renee,120
1/1/2017 8:09,Kiddies Range Tracksuit,1200,Mastercard,Nicole,280
1/17/2017 11:09,Sandle,1200,Mastercard,Joachim,200
1/31/2017 7:22,Beanie,1200,Visa,Monica ,150
1/31/2017 9:12,Sandle,1200,Visa,Nanci,160
1/31/2017 8:56,Bucket Hat,1200,Mastercard,Laura,160
1/31/2017 9:00,Bucket Hat,1200,Visa,ciara and mike,300
1/11/2017 14:07,Golf T-shirt,1200,Visa,Sarah,467
1/1/2017 12:25,Jean Short,3600,Mastercard,Anne-line,182
1/31/2017 11:14,Sandle,3600,Mastercard,Ulrika,100
1/2/2017 9:57,Mrs Death T-shirt,1200,Amex,leigh,120
